Statistic Label,Year,County,UNIT,VALUE
Index of Disposable Income per Person (excluding Rent),2021,Co. Dublin,State=100,106.66
Index of Disposable Income per Person (excluding Rent),2021,Co. Galway,State=100,95.57
Index of Disposable Income per Person (excluding Rent),2021,Co. Kerry,State=100,94.5
Index of Disposable Income per Person (excluding Rent),2021,Co. Kildare,State=100,101.71
Index of Disposable Income per Person (excluding Rent),2021,Co. Kilkenny,State=100,84.89
Index of Disposable Income per Person (excluding Rent),2021,Co. Laois,State=100,84.52
Index of Disposable Income per Person (excluding Rent),2021,Co. Leitrim,State=100,91.99
Index of Disposable Income per Person (excluding Rent),2021,Co. Limerick,State=100,105.7
Index of Disposable Income per Person (excluding Rent),2021,Co. Longford,State=100,97.13
Index of Disposable Income per Person (excluding Rent),2021,Co. Louth,State=100,102.3
Index of Disposable Income per Person (excluding Rent),2021,Co. Mayo,State=100,94.35
Index of Disposable Income per Person (excluding Rent),2021,Co. Meath,State=100,96.28
Index of Disposable Income per Person (excluding Rent),2021,Co. Monaghan,State=100,93.53
Index of Disposable Income per Person (excluding Rent),2021,Co. Offaly,State=100,89.96
Index of Disposable Income per Person (excluding Rent),2021,Co. Roscommon,State=100,88.68
Index of Disposable Income per Person (excluding Rent),2021,Co. Sligo,State=100,90.16
Index of Disposable Income per Person (excluding Rent),2021,Co. Tipperary,State=100,102.5
Index of Disposable Income per Person (excluding Rent),2021,Co. Waterford,State=100,100.05
Index of Disposable Income per Person (excluding Rent),2021,Co. Westmeath,State=100,102.41
Index of Disposable Income per Person (excluding Rent),2021,Co. Wexford,State=100,97.41
Index of Disposable Income per Person (excluding Rent),2021,Co. Wicklow,State=100,104.22
Social Benefits and Other Current Transfers per Person,2021,Ireland,Euro,7039
Social Benefits and Other Current Transfers per Person,2021,Co. Carlow,Euro,8700.83
Social Benefits and Other Current Transfers per Person,2021,Co. Cavan,Euro,7266.4
Social Benefits and Other Current Transfers per Person,2021,Co. Clare,Euro,6673.51
Social Benefits and Other Current Transfers per Person,2021,Co. Cork,Euro,6820.87
Social Benefits and Other Current Transfers per Person,2021,Co. Donegal,Euro,8246.03
Social Benefits and Other Current Transfers per Person,2021,Co. Dublin,Euro,6376.38
Social Benefits and Other Current Transfers per Person,2021,Co. Galway,Euro,6701.45
Social Benefits and Other Current Transfers per Person,2021,Co. Kerry,Euro,7751.15
Social Benefits and Other Current Transfers per Person,2021,Co. Kildare,Euro,6347.98
Social Benefits and Other Current Transfers per Person,2021,Co. Kilkenny,Euro,6234.07
Social Benefits and Other Current Transfers per Person,2021,Co. Laois,Euro,6682.23
Social Benefits and Other Current Transfers per Person,2021,Co. Leitrim,Euro,8002.89
Social Benefits and Other Current Transfers per Person,2021,Co. Limerick,Euro,7682.96
Social Benefits and Other Current Transfers per Person,2021,Co. Longford,Euro,8750.75
Social Benefits and Other Current Transfers per Person,2021,Co. Louth,Euro,8458.43
Social Benefits and Other Current Transfers per Person,2021,Co. Mayo,Euro,7770.17
Social Benefits and Other Current Transfers per Person,2021,Co. Meath,Euro,6234.5
Social Benefits and Other Current Transfers per Person,2021,Co. Monaghan,Euro,7336.54
Social Benefits and Other Current Transfers per Person,2021,Co. Offaly,Euro,7587.86
Social Benefits and Other Current Transfers per Person,2021,Co. Roscommon,Euro,7317.48
Social Benefits and Other Current Transfers per Person,2021,Co. Sligo,Euro,7408.95
Social Benefits and Other Current Transfers per Person,2021,Co. Tipperary,Euro,8009.56
Social Benefits and Other Current Transfers per Person,2021,Co. Waterford,Euro,8090.14
Social Benefits and Other Current Transfers per Person,2021,Co. Westmeath,Euro,7969
Social Benefits and Other Current Transfers per Person,2021,Co. Wexford,Euro,8369.8
Social Benefits and Other Current Transfers per Person,2021,Co. Wicklow,Euro,6965.89
Persons at Work,2021,Ireland,Thousand,2389.29
Persons at Work,2021,Co. Carlow,Thousand,20.99
Persons at Work,2021,Co. Cavan,Thousand,36.52
Persons at Work,2021,Co. Clare,Thousand,26.79
Persons at Work,2021,Co. Cork,Thousand,306.54
Persons at Work,2021,Co. Donegal,Thousand,69.45
Persons at Work,2021,Co. Dublin,Thousand,726.83
Persons at Work,2021,Co. Galway,Thousand,171.57
Persons at Work,2021,Co. Kerry,Thousand,32.99
Persons at Work,2021,Co. Kildare,Thousand,127.47
Persons at Work,2021,Co. Kilkenny,Thousand,33.18
Persons at Work,2021,Co. Laois,Thousand,32.86
Persons at Work,2021,Co. Leitrim,Thousand,13.2
Persons at Work,2021,Co. Limerick,Thousand,120.03
Persons at Work,2021,Co. Longford,Thousand,19.99
Persons at Work,2021,Co. Louth,Thousand,70.55
Persons at Work,2021,Co. Mayo,Thousand,39.28
Persons at Work,2021,Co. Meath,Thousand,86.09
Persons at Work,2021,Co. Monaghan,Thousand,32.17
Persons at Work,2021,Co. Offaly,Thousand,36.52
Persons at Work,2021,Co. Roscommon,Thousand,14.84
Persons at Work,2021,Co. Sligo,Thousand,35.63
Persons at Work,2021,Co. Tipperary,Thousand,79.31
Persons at Work,2021,Co. Waterford,Thousand,92.6
Persons at Work,2021,Co. Westmeath,Thousand,52.58
Persons at Work,2021,Co. Wexford,Thousand,48.31
Persons at Work,2021,Co. Wicklow,Thousand,62.99
Percentage of Persons at Work,2021,Ireland,%,100
Percentage of Persons at Work,2021,Co. Carlow,%,0.88
Percentage of Persons at Work,2021,Co. Cavan,%,1.53
Percentage of Persons at Work,2021,Co. Clare,%,1.12
Percentage of Persons at Work,2021,Co. Cork,%,12.83
Percentage of Persons at Work,2021,Co. Donegal,%,2.91
Percentage of Persons at Work,2021,Co. Dublin,%,30.42
Percentage of Persons at Work,2021,Co. Galway,%,7.18
Percentage of Persons at Work,2021,Co. Kerry,%,1.38
Percentage of Persons at Work,2021,Co. Kildare,%,5.33
Percentage of Persons at Work,2021,Co. Kilkenny,%,1.39
Percentage of Persons at Work,2021,Co. Laois,%,1.38
Percentage of Persons at Work,2021,Co. Leitrim,%,0.55
Percentage of Persons at Work,2021,Co. Limerick,%,5.02
Percentage of Persons at Work,2021,Co. Longford,%,0.84
Percentage of Persons at Work,2021,Co. Louth,%,2.95
Percentage of Persons at Work,2021,Co. Mayo,%,1.64
Percentage of Persons at Work,2021,Co. Meath,%,3.6
Percentage of Persons at Work,2021,Co. Monaghan,%,1.35
Percentage of Persons at Work,2021,Co. Offaly,%,1.53
Percentage of Persons at Work,2021,Co. Roscommon,%,0.62
Percentage of Persons at Work,2021,Co. Sligo,%,1.49
Percentage of Persons at Work,2021,Co. Tipperary,%,3.32
Percentage of Persons at Work,2021,Co. Waterford,%,3.88
Percentage of Persons at Work,2021,Co. Westmeath,%,2.2
Percentage of Persons at Work,2021,Co. Wexford,%,2.02
Percentage of Persons at Work,2021,Co. Wicklow,%,2.64
