Statistic Label,Year,County,UNIT,VALUE
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Cork,Euro Million,1322.18
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Donegal,Euro Million,156.9
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Dublin,Euro Million,6642.2
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Galway,Euro Million,718.54
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Kerry,Euro Million,203.29
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Kildare,Euro Million,495.91
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Kilkenny,Euro Million,121.36
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Laois,Euro Million,108.46
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Leitrim,Euro Million,36.96
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Limerick,Euro Million,436.13
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Longford,Euro Million,58.69
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Louth,Euro Million,247.56
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Mayo,Euro Million,171.85
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Meath,Euro Million,335.83
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Monaghan,Euro Million,70.98
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Offaly,Euro Million,96.17
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Roscommon,Euro Million,76.48
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Sligo,Euro Million,105.28
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Tipperary,Euro Million,185.44
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Waterford,Euro Million,202.24
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Westmeath,Euro Million,166.05
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Wexford,Euro Million,200.83
Rent of dwellings (including imputed rent of owner-occupied dwellings),2021,Co. Wicklow,Euro Million,294.65
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Ireland,Euro Million,5849.43
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Carlow,Euro Million,61.01
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Cavan,Euro Million,70.8
